Fecha,T_Media_General,T_Media_Cerro_Prieto,T_Media_El_Cuchillo,T_Media_La_Boca,T.Max_General,T_Max_Cerro_Prieto,T_Max_El_Cuchillo,T_Max_La_Boca,T.Min_General,T_Min_Cerro_Prieto,T_Min_El_Cuchillo,T_Min_La_Boca,V_Media_Viento,Rachas_Max,Presion_Media,Precip_General,Precip_Cerro_Prieto,Precip_El_Cuchillo,Precip_La_Boca,Evap_Cerro_Prieto,Evap_El_Cuchillo,Ciclon_Is,Ciclon_VS,Ciclon_R,Niveles_P,Niveles_NP,Consumo_Clientes_industriales_AMM,Consumo_Clientes_industriales_MNM,Consumo_clientes_industriales_fact,Poblacion,PIB
01/09/2013,26,2426667,25675,2425833,35,2933333,3058333,2971667,16,43515,2076667,43695,43626,NaN,1010.6,291.3,1202381,7483675,1624333,4993333,5.67,1,103,123,30531168,111840,NaN,NaN,NaN,4827088.71,16313380
01/10/2013,NaN,2289516,2352419,2258871,NaN,2754839,2809677,2783871,NaN,1824194,1895161,1733871,NaN,NaN,NaN,43675,1400922,1961621,2087097,4622581,5296774,1,90,106.67,31238179,145634,NaN,NaN,NaN,4830944.26,16402273
01/11/2013,17,1740833,1863333,1774167,32,2206667,2318333,2301667,3,12.75,1408333,1246667,43655,0,1021.1,50,1827143,2454018,3976667,2953333,3536667,1,100,120,29802816,96002,NaN,NaN,NaN,4834799.82,16402273
01/12/2013,13,1644355,1700806,1652419,32,2104839,2174194,2206452,3,1183871,1227419,1098387,43717,NaN,1022.4,74.5,6381106,5645492,5374194,3212903,3796774,1,100,120,30287347,145688,NaN,NaN,NaN,4838655.37,16402273
01/01/2014,14,1697581,1803226,1748352,32,2345161,2480645,2579032,1,43595,1125806,9176719,43566,NaN,1021.9,7,2232719,284202,2906823,4532258,4283871,0,0,0,31880995,97454,NaN,NaN,NaN,4842510.93,16508912
01/02/2014,17,2050893,2124107,2051786,35,2642857,27625,2782143,1,1458929,1485714,1321429,43688,64.8,1017.1,43473,492857,1832143,2.35,4403571,4575,0,0,0,28089331,83376,NaN,NaN,NaN,4846366.49,16508912
01/03/2014,19,1982258,2064516,2005645,35,2501613,2633871,263871,3,1462903,1495161,1372581,43721,64.8,1016.8,43732,4223042,3736808,306129,3751613,4354839,0,0,0,31444416,43289,NaN,NaN,NaN,4850222.04,16508912
01/04/2014,24,22225,23675,22375,40,2778333,2946667,2903333,8,1666667,1788333,1571667,43721,51.8,1014.1,43508,0.27,477351,726667,5146667,5786667,0,0,0,31661366,58301,NaN,NaN,NaN,4854077.6,16718643
01/05/2014,26,2366935,2492742,2395484,38,2908065,3101613,3053871,11,1825806,1883871,1737097,43691,NaN,1015.3,71.1,2200461,748718,967742,6232258,6458065,0,0,0,33396970,66729,NaN,NaN,NaN,4857933.15,16718643
01/06/2014,29,25.15,27.35,2614167,40,3011667,3318333,3231667,21,2018333,2151667,1996667,15,NaN,1013.4,68,2451429,3557009,2373333,6.82,7.82,0,0,0,33955200,67593,NaN,NaN,NaN,4861788.71,16718643
01/07/2014,29,2628226,2792742,2722581,40,3190323,3453226,3433871,21,2066129,2132258,201129,43600,55.4,1016.6,48.2,206129,1587759,1190323,7758065,8016129,1,7.67,14,34998653,87575,NaN,NaN,NaN,4865644.27,16779940
01/08/2014,30,2674194,2817742,2741935,40,326129,3487097,3491935,22,2087097,2148387,1991935,43720,74.2,1015.4,55.4,972351,1645823,616129,7606452,7996774,1,11,19,36150365,75763,NaN,NaN,NaN,4869499.82,16779940
01/09/2014,26,2325833,2516667,43639,35,2771667,3023333,28.35,11,43695,43485,18.85,43719,NaN,1016.2,221.4,4680953,4724018,1623667,4476667,4.97,1,9,12.5,32669568,92717,NaN,NaN,NaN,4873355.38,16779940
01/10/2014,24,2304032,2391935,2257258,32,283871,2979032,2919355,14,1769355,1804839,1595161,43686,59.3,1016.5,69.3,4456222,3046155,9677419,4380645,4841935,1,6,18.33,33375542,128882,NaN,NaN,NaN,4877210.94,16966131
01/11/2014,16,1796667,18725,1766667,29,2378333,2468333,2466667,2,12.15,1276667,1066667,43596,55.6,1021.1,59.7,30381,150342,466667,3746667,3893333,0,0,0,31127328,122574,NaN,NaN,NaN,4881066.49,16966131
01/12/2014,16,181371,1870968,1829032,30,2267742,2332258,2387097,5,1359677,1409677,1270968,43655,55.6,1020.3,38.1,4552074,2348387,383871,3109677,3583871,0,0,0,31481914,97041,NaN,NaN,NaN,4884922.05,16966131
