Fecha,T_Media_General,T_Media_Cerro_Prieto,T_Media_El_Cuchillo,T_Media_La_Boca,T.Max_General,T_Max_Cerro_Prieto,T_Max_El_Cuchillo,T_Max_La_Boca,T.Min_General,T_Min_Cerro_Prieto,T_Min_El_Cuchillo,T_Min_La_Boca,V_Media_Viento,Rachas_Max,Presion_Media,Precip_General,Precip_Cerro_Prieto,Precip_El_Cuchillo,Precip_La_Boca,Evap_Cerro_Prieto,Evap_El_Cuchillo,Ciclon_Is,Ciclon_VS,Ciclon_R,Niveles_P,Niveles_NP,Consumo_Clientes_industriales_AMM,Consumo_Clientes_industriales_MNM,Consumo_clientes_industriales_fact,Poblacion,PIB
01/09/2011,30.00,2729167.00,2790833.00,43734.00,41.00,3363333.00,3418333.00,3528333.00,18.00,20.95,2163333.00,1851667.00,43506.00,NaN,1011.1,36.8,746667.00,2046667.00,43528.00,43472.00,8.52,1.00,153.33,185.83,NaN,NaN,NaN,NaN,NaN,NaN,"15,637,151"
01/10/2011,24.00,2327419.00,2333871.00,2218548.00,35.00,2932258.00,2985484.00,2993548.00,9.00,1722581.00,1682258.00,1443548.00,43718.00,NaN,1013.9,55.9,133871.00,845161.00,1170968.00,6209677.00,7119355.00,1.00,181.67,223.33,NaN,NaN,NaN,NaN,NaN,NaN,"15,748,476"
01/11/2011,21.00,21125.00,2164167.00,43665.00,35.00,2721667.00,2783333.00,2828333.00,5.00,1503333.00,15.45,1111667.00,43567.00,44.3,1016.2,43591.00,384286.00,173333.00,403333.00,5473333.00,43713.00,1.00,100.00,120.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,748,476"
01/12/2011,14.00,1746935.00,1791935.00,1691935.00,30.00,2337097.00,2372581.00,2343548.00,3.00,1156774.00,1.12,1040323.00,43565.00,NaN,1019.5,43489.00,645161.00,623243.00,596774.00,3867742.00,3751613.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,748,476"
01/01/2012,18.00,2082258.00,2087097.00,1982258.00,34.00,2704839.00,2667742.00,2764516.00,3.00,1459677.00,1506452.00,12.00,43566.00,46.5,1018.5,43712.00,412903.00,375187.00,43497.00,4406452.00,4280645.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,836,824"
01/02/2012,17.00,2123276.00,43606.00,2084483.00,36.00,2698276.00,2705172.00,2803448.00,4.00,1548276.00,1594828.00,1365517.00,43627.00,79.5,1016.8,71,827586.00,1414855.00,551724.00,4437931.00,4637931.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,836,824"
01/03/2012,23.00,2443548.00,2522581.00,2383871.00,39.00,3058065.00,3143548.00,3133871.00,6.00,1829032.00,1901613.00,1633871.00,43568.00,NaN,1012.4,24,410599.00,348718.00,422581.00,6374194.00,6990323.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,836,824"
01/04/2012,27.00,2531667.00,26325.00,2555833.00,39.00,3171667.00,32.95,3381667.00,13.00,1891667.00,43665.00,43541.00,43569.00,48.2,1010.00,43578.00,1496667.00,403675.00,1143333.00,6943333.00,43473.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,978,040"
01/05/2012,28.00,2641129.00,2733065.00,2654839.00,45.00,3277419.00,338871.00,3424194.00,19.00,2004839.00,2077419.00,1885484.00,43659.00,NaN,1009.2,48.5,333641.00,796774.00,1390323.00,7712903.00,8832258.00,1.00,92.50,117.50,NaN,NaN,NaN,NaN,NaN,NaN,"15,978,040"
01/06/2012,30.00,2718333.00,43674.00,2728333.00,42.00,3346667.00,35.1,35.1,19.00,43728.00,43546.00,1946667.00,43659.00,NaN,1008.1,59.4,2203333.00,3593333.00,1993333.00,7466667.00,9.28,1.00,107.50,130.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,978,040"
01/07/2012,29.00,2771774.00,2883871.00,2729032.00,40.00,3380645.00,3503226.00,3495161.00,20.00,2162903.00,2264516.00,1962903.00,43630.00,NaN,1011.4,43521.00,2590323.00,3587097.00,1341935.00,8041935.00,43625.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"16,078,211"
01/08/2012,30.00,2683065.00,43613.00,2732258.00,40.00,3272581.00,3453226.00,3441935.00,19.00,2093548.00,2246774.00,2022581.00,43659.00,NaN,1009.8,83.3,6056222.00,2219355.00,5529032.00,6596774.00,8709677.00,1.00,128.00,156.50,NaN,NaN,NaN,NaN,NaN,NaN,"16,078,211"
01/09/2012,28.00,25.00,25825.00,2419167.00,39.00,30.25,3113333.00,2983333.00,18.00,19.75,2051667.00,18.55,43688.00,NaN,1012.5,105.4,3490476.00,1793675.00,6.83,5536699.00,6603333.00,1.00,150.00,182.50,NaN,NaN,NaN,NaN,NaN,NaN,"16,078,211"
01/10/2012,25.00,2393548.00,2506452.00,2295968.00,39.00,2987097.00,3067742.00,2908065.00,10.00,18.00,1945161.00,1683871.00,43718.00,NaN,1012.8,41.6,209677.00,129694.00,2235484.00,5570968.00,6287097.00,1.00,115.00,140.00,NaN,NaN,NaN,NaN,NaN,NaN,"16,213,437"
01/11/2012,20.00,1985833.00,2050833.00,19325.00,34.00,43701.00,2498333.00,43609.00,11.00,1491667.00,1603333.00,43630.00,43532.00,NaN,1018.8,73.6,1827143.00,43771.00,3146667.00,3266667.00,4303333.00,1.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"16,213,437"
01/12/2012,18.00,1905645.00,1881452.00,1765323.00,34.00,2516129.00,2445161.00,2508065.00,2.00,1295161.00,1317742.00,1022581.00,9.00,NaN,1015.6,43467.00,378802.00,780645.00,454839.00,4451613.00,4819355.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"16,213,437"
01/01/2013,16.00,1966129.00,2012097.00,1839516.00,35.00,2564516.00,2598387.00,2606452.00,4.00,1367742.00,1425806.00,1072581.00,43687.00,64.8,1019.1,28,1651613.00,290323.00,1080645.00,4732258.00,4890323.00,0.00,0.00,0.00,"29,842,733",43304.00,NaN,NaN,NaN,NaN,"16,269,241"
01/02/2013,20.00,20625.00,2116071.00,2026786.00,36.00,2660714.00,2696429.00,2796429.00,8.00,1464286.00,1535714.00,1257143.00,43567.00,64.8,1013.4,43587.00,2557143.00,342857.00,621429.00,5521429.00,6357143.00,0.00,0.00,0.00,"27,433,728",36737.00,NaN,NaN,NaN,NaN,"16,269,241"
01/03/2013,22.00,2171774.00,2248387.00,2115323.00,38.00,2804839.00,2879032.00,2862903.00,7.00,153871.00,1617742.00,1367742.00,43720.00,70.2,1014.9,43591.00,549309.00,119686.00,1480645.00,5854839.00,6451613.00,0.00,0.00,0.00,31224787.00,40604.00,NaN,NaN,NaN,NaN,"16,269,241"
01/04/2013,24.00,2318333.00,43700.00,43638.00,41.00,2981667.00,3021667.00,3008333.00,11.00,16.55,1738333.00,1511667.00,43720.00,74.1,1009.8,43523.00,55381.00,960342.00,43497.00,6.19,6693333.00,0.00,0.00,0.00,30563222.00,40116.00,NaN,NaN,NaN,NaN,"16,158,410"
01/05/2013,26.00,2566935.00,2700806.00,2502419.00,41.00,318871.00,3309677.00,3193548.00,9.00,1945161.00,2091935.00,181129.00,13.00,64.8,1010.6,76,3558065.00,2819355.00,253871.00,7119355.00,8006452.00,0.00,0.00,0.00,31859568.00,43857.00,NaN,NaN,NaN,NaN,"16,158,410"
01/06/2013,30.00,2648333.00,2775833.00,2708333.00,41.00,3213333.00,3368333.00,3418333.00,19.00,2083333.00,2183333.00,1998333.00,43479.00,55.4,1009.4,47.5,2066667.00,1793333.00,3596667.00,8.88,9.53,1.00,85.00,102.50,32553274.00,43317.00,NaN,NaN,NaN,NaN,"16,158,410"
01/07/2013,29.00,2577419.00,2765323.00,2612903.00,39.00,3145161.00,3353226.00,3264516.00,21.00,2009677.00,2177419.00,196129.00,13.00,NaN,1011.3,72.1,1910599.00,1880976.00,2951613.00,7564516.00,843871.00,1.00,97.50,115.00,32791651.00,66640.00,NaN,NaN,NaN,NaN,"16,313,380"
01/08/2013,30.00,2557258.00,2710484.00,2568548.00,40.00,3175806.00,3306452.00,326129.00,21.00,193871.00,2114516.00,1875806.00,43477.00,NaN,1011.7,51.3,700461.00,1375518.00,4680645.00,6235484.00,7070968.00,1.00,81.67,98.33,34299590.00,65467.00,NaN,NaN,NaN,NaN,"16,313,380"
01/09/2013,26.00,2426667.00,25675.00,2425833.00,35.00,2933333.00,3058333.00,2971667.00,16.00,43515.00,2076667.00,43695.00,43626.00,NaN,1010.6,291.3,1202381.00,7483675.00,1624333.00,4993333.00,5.67,1.00,103.00,123.00,30531168.00,111840.00,NaN,NaN,NaN,NaN,"16,313,380"
01/10/2013,NaN,2289516.00,2352419.00,2258871.00,NaN,2754839.00,2809677.00,2783871.00,NaN,1824194.00,1895161.00,1733871.00,NaN,NaN,NaN,43675.00,1400922.00,1961621.00,2087097.00,4622581.00,5296774.00,1.00,90.00,106.67,31238179.00,145634.00,NaN,NaN,NaN,NaN,"16,402,273"
01/11/2013,17.00,1740833.00,1863333.00,1774167.00,32.00,2206667.00,2318333.00,2301667.00,3.00,12.75,1408333.00,1246667.00,43655.00,0.00,1021.1,50,1827143.00,2454018.00,3976667.00,2953333.00,3536667.00,1.00,100.00,120.00,29802816.00,96002.00,NaN,NaN,NaN,NaN,"16,402,273"
01/12/2013,13.00,1644355.00,1700806.00,1652419.00,32.00,2104839.00,2174194.00,2206452.00,3.00,1183871.00,1227419.00,1098387.00,43717.00,NaN,1022.4,74.5,6381106.00,5645492.00,5374194.00,3212903.00,3796774.00,1.00,100.00,120.00,30287347.00,145688.00,NaN,NaN,NaN,NaN,"16,402,273"
