"","Young","Old"
"C10orf79",3.40924336726279,3.1071791272506
"C10orf81",10.2109031074646,10.5430811276081
"C10orf82",4.12548029932438,3.53023911437841
"C10orf84",10.1967329720408,10.2321437744936
"C10orf88",8.26149606129787,8.24740464362163
"C10orf90",0.429242096525133,0.501001471897724
"C10orf91",3.25676333845489,3.27674360615864
"C10orf93",1.27808350866708,0.701971936274314
"C10orf95",6.00089663267764,6.03365370318389
"C10orf96",0.00642855853178384,0.00335486554836332
"C10orf99",10.1126221860481,10.1685684124284
"C11orf10",11.5406374969548,11.4446642542512
"C11orf16",0.729662397367502,0.52841674130512
"C11orf17",9.40126858909537,9.40828458186913
"C11orf1",9.49652370035272,9.36165588457797
"C11orf20",2.8846210575736,2.97702338863097
"C11orf21",3.00648837599818,2.95835885509461
"C11orf24",11.0476094850928,10.890531677309
"C11orf2",12.6032943976214,12.5233945184146
"C11orf30",9.17869279569872,9.10652871742121
"C11orf31",11.3296440432864,11.2069401840254
"C11orf34",0.229146547898121,0.173492836286313
"C11orf35",6.3621657378789,6.31157189411113
"C11orf36",0.0881701324167851,0.0922085063555922
"C11orf40",0,0.00243444782836487
"C11orf41",5.81205814715185,5.89109871854361
"C11orf42",1.65806748620062,1.69825991909195
"C11orf45",5.51799487895214,5.33512857636863
"C11orf46",9.66145059038976,9.6305003004321
"C11orf48",10.7130646515101,10.6711478902739
"C11orf49",10.5343321698284,10.3850778981251
"C11orf51",10.3564811098017,10.221850268218
"C11orf52",7.60335692563337,7.54616623413821
"C11orf53",4.93203121615094,5.22668060165953
"C11orf54",10.4825735106904,10.264524903427
"C11orf57",10.5776015162393,10.5086883354664
"C11orf58",12.3702271838846,12.3435650293536
"C11orf59",11.7188616321772,11.6188216783592
"C11orf61",8.32815155325619,8.36727666328407
"C11orf63",5.55491155685747,5.2971802547532
"C11orf64",0,0.00328279698482688
"C11orf65",2.77211763414255,2.63220249228773
"C11orf66",4.41153136920477,4.08981935090502
"C11orf67",8.60722548644663,8.48484633509165
"C11orf68",10.323055812367,10.2657851448269
"C11orf70",4.10015821727239,3.84225039872845
"C11orf71",8.60859862944157,8.42887462938019
"C11orf73",9.87801458900369,9.76344805670516
"C11orf74",7.67974637572383,7.60387468452902
"C11orf75",9.58890934164354,9.50311034705427
"C11orf80",8.91843003907869,8.77437553131227
"C11orf82",8.63358529154135,8.63113576140462
"C11orf83",10.1859027662878,10.087027735455
"C11orf84",9.97003589132576,9.98401336714468
"C11orf85",0.31476339663979,0.277832701059853
"C11orf86",4.86754321587689,4.45261620380174
"C11orf87",1.33919345507816,1.07082374959349
"C11orf88",0.645081615419309,0.597284224568922
"C11orf90",2.51802397588239,2.50240052447585
"C11orf92",6.85407486730703,6.96953893607933
"C11orf93",6.65648734560171,6.85426440349823
"C11orf94",0.0403300574967918,0.0613540795858866
"C11orf95",9.86113046050226,9.76318352647972
"C11orf9",10.024914738505,10.086197450535
"C12orf10",10.7660953584174,10.6713215949896
"C12orf11",10.4545718958876,10.5023038785168
"C12orf12",0.0360524798271625,0.00623033276148827
"C12orf23",10.5614463731091,10.4940924351956
"C12orf24",7.28234543254743,7.23669616251008
"C12orf26",7.28875453728483,7.2185488045226
"C12orf27",6.97913944201531,6.94837555450582
"C12orf29",9.77641388266474,9.73474601835673
"C12orf32",10.3698863166247,10.3551082849393
"C12orf34",8.55586658870622,8.27740269920625
"C12orf35",10.828551014583,10.8627702968301
"C12orf36",9.65993482454154,9.71703191317675
"C12orf39",0.141655260934503,0.0943734381790352
"C12orf40",0.106178179706059,0.0843456392218146
"C12orf41",10.0626838431221,10.0338925548669
"C12orf42",1.02751833090385,0.84458246490453
"C12orf43",8.87492909310457,8.88491577254666
"C12orf44",10.9707916942014,10.9717359197232
"C12orf45",9.04113568697972,9.11255936845502
"C12orf47",9.810830457145,9.85997118291333
"C12orf48",9.36243850830553,9.38423202053074
"C12orf49",10.3457106078909,10.3548698315751
"C12orf4",9.15283665441319,9.18007116064549
"C12orf50",0.262530480542502,0.190332866598372
"C12orf51",10.8513170044602,10.9433080175609
"C12orf52",9.99666929285919,10.1138239095975
"C12orf53",3.88409837193645,3.72915927519988
"C12orf54",0.319924945510755,0.272972614532474
"C12orf56",2.18366110154278,1.59097654754868
"C12orf57",10.7500171696565,10.7680452938971
"C12orf59",2.94875219761226,2.79257028759346
"C12orf5",9.7808951944062,9.81417789179911
"C12orf60",4.82303384222476,4.6994380538414
"C12orf61",3.77034419305446,3.62680732747905
"C12orf62",10.4238310569157,10.3438693550811
"C12orf63",0.906510149002487,0.84278024201408
"C12orf65",9.39271641924107,9.40121322573422
"C12orf66",7.93826010718617,7.92400183619734
"C12orf68",4.96896021524839,4.85473657928823
"C12orf69",1.97087493294112,1.88433309064968
"C12orf70",1.85992388404661,1.71747265508329
"C12orf71",0.652249453464412,0.465421863480391
"C12orf72",5.71722005775252,5.65162773068088
"C12orf73",8.09507154963508,8.11460021311807
"C12orf74",2.66303414876663,2.78995963296151
"C12orf75",10.9778937768072,10.9579708840898
"C12orf76",7.48029578294994,7.56226963282585
"C12orf77",0.135446363907007,0.0922422742628763
"C13orf15",8.87127472770034,8.69022162622461
"C13orf16",1.29456574618151,1.2400909208623
"C13orf18",10.9554701772568,11.1500311553519
"C13orf1",9.85631444920996,9.9636449573977
"C13orf23",12.1040422364544,12.2927458642223
"C13orf26",0.167142127942406,0.118477311642696
"C13orf27",8.42064730156624,8.36237628006423
"C13orf28",0,0
"C13orf29",6.84576313840732,7.07883873046079
"C13orf30",1.42771245454805,1.28888267657438
"C13orf31",9.2661780302333,9.48625354467383
"C13orf33",6.62709674478794,6.64838014269403
"C13orf34",9.62359051801627,9.78070927400716
"C13orf35",0.174838310861097,0.218189720448879
"C13orf36",0.407018171505749,0.552373402048964
"C13orf37",10.5442505418116,10.6804950831905
"C13orf38",0.723437682323308,0.709133280686381
"C13orf39",0.093271330958012,0.0666749953707935
"C14orf101",9.91491057566558,9.95926390299721
"C14orf102",8.8559521921061,8.81644740697817
"C14orf104",9.40656870197138,9.32372425687919
"C14orf105",2.35668707072071,1.4799117839314
"C14orf106",10.1160438383945,10.0887581814255
"C14orf109",9.13902552423912,9.07204211243267
"C14orf115",2.45052363978337,2.32455672523109
"C14orf118",8.21707772558097,8.27098790873466
"C14orf119",11.0263775761404,10.9820402617332
"C14orf126",9.22266294217023,9.19104557827078
"C14orf128",7.16430473215083,7.03050519718358
"C14orf129",11.3406173102696,11.3361061009278
"C14orf132",7.48996854070129,7.13128922703993
"C14orf135",9.74996754616609,9.76877416881986
"C14orf138",7.68436827120654,7.69100197101637
"C14orf139",6.02119564097557,5.96450967740035
"C14orf142",8.8133657431836,8.71186772040802
"C14orf143",7.3161127265752,7.26089121118143
"C14orf145",7.20688485717753,7.17948807631056
"C14orf147",11.4373301670062,11.4904759299286
"C14orf148",2.54139464573377,2.44667925479519
"C14orf149",6.67911095090594,6.60731503617035
"C14orf153",9.88591266332162,9.72216658286925
"C14orf156",10.4020491881469,10.4355755118727
"C14orf159",10.2653723615332,10.1989328192918
"C14orf162",0.33457628281583,0.245381550061224
"C14orf165",0.0152049047159985,0.027762120856958
"C14orf166B",0.542763081041752,0.472408333838145
"C14orf166",12.2167932607852,12.1970248827175
"C14orf167",9.89254212365708,9.87521830564709
"C14orf169",9.24485954777894,9.24556296648203
"C14orf174",4.05401318307509,3.91824061467857
"C14orf176",7.35475054090065,7.1801311867753
"C14orf177",0,0
"C14orf178",0.434753382532174,0.527944495828452
"C14orf179",8.76726150191049,8.73167321013911
"C14orf180",0.719340420212103,0.644829065211468
"C14orf181",6.24532173642137,6.32876396162497
"C14orf182",3.42531693253179,3.42112635274354
"C14orf183",0.116029979196295,0.137682317548489
"C14orf184",1.97885451712381,1.8617709491813
"C14orf19",3.0207211591145,3.27829401356886
"C14orf1",10.9997540247873,10.9836901825818
"C14orf21",9.33870084363973,9.28819887755653
