"","Pvalues"
"ANKH",0.0372477897514497
"ANKIB1",0.930176525501841
"ANKK1",0.160702992734406
"ANKLE1",0.546451770242324
"ANKLE2",0.0285720712123955
"ANKMY1",0.000925873285095674
"ANKMY2",0.796705896549716
"ANKRA2",0.253754471611449
"ANKRD10",0.29909442279962
"ANKRD11",0.91914060643628
"ANKRD12",0.979308142595421
"ANKRD13A",0.141809409083058
"ANKRD13B",0.67439135651263
"ANKRD13C",0.451001109687766
"ANKRD13D",0.383613256896731
"ANKRD16",0.641353181190929
"ANKRD17",0.393787474514319
"ANKRD19",0.210932852940722
"ANKRD1",0.914060001856247
"ANKRD20A3",0.86655437700602
"ANKRD20A4",0.372471198206694
"ANKRD20B",0.312369797088274
"ANKRD22",0.48293577711555
"ANKRD23",0.167220872975142
"ANKRD24",0.369448902700184
"ANKRD26P1",0.556379456756106
"ANKRD26",0.463033286585613
"ANKRD27",0.118121375173169
"ANKRD28",0.854277065115095
"ANKRD29",0.817573112772364
"ANKRD2",0.985715737441643
"ANKRD30A",0.500952875202462
"ANKRD30B",0.254438292280901
"ANKRD31",0.850181929655837
"ANKRD32",0.514024876112457
"ANKRD33",0.184859922641521
"ANKRD34A",0.335639579930133
"ANKRD34B",0.0170028923915626
"ANKRD34C",0.642444958261625
"ANKRD35",0.0714904254833828
"ANKRD36BP1",0.627424978281533
"ANKRD36B",0.103527832232298
"ANKRD36",0.0379732192765102
"ANKRD37",0.916588596484775
"ANKRD39",0.272282178775254
"ANKRD40",0.578875990466942
"ANKRD42",0.0592066100117639
"ANKRD43",0.751257786998992
"ANKRD44",0.840968228404538
"ANKRD45",0.172867248490525
"ANKRD46",0.14782978427529
"ANKRD49",0.783636648854039
"ANKRD50",0.215402700187438
"ANKRD52",0.409598214512408
"ANKRD53",0.522144676199236
"ANKRD54",0.0523652255450093
"ANKRD55",0.434187127072885
"ANKRD56",0.362456068371295
"ANKRD57",0.0123340337235606
"ANKRD58",0.45754608931564
"ANKRD5",0.920321997084956
"ANKRD6",0.323740384572198
"ANKRD7",0.834096203921158
"ANKRD9",0.963987570599455
"ANKS1A",0.587037184760918
"ANKS1B",0.938407039298634
"ANKS3",0.818962693919252
"ANKS4B",0.424876229533066
"ANKS6",0.0433326510363247
"ANKZF1",0.0555690612390615
"ANLN",0.323871878297893
"ANO10",0.8719617228065
"ANO1",0.722292243963847
"ANO2",0.561674855313016
"ANO3",0.54897968110034
"ANO4",0.0478735477541361
"ANO5",0.0948029308374011
"ANO6",0.277863725730962
"ANO7",0.348466583073341
"ANO8",0.90696947058148
"ANO9",0.515522464547703
"ANP32A",0.531977840144806
"ANP32B",0.238839177351875
"ANP32C",0.156994338806328
"ANP32D",0.885376336960589
"ANP32E",0.369290693397177
"ANPEP",0.781999090891226
"ANTXR1",0.212124103999776
"ANTXR2",0.636314623017733
"ANTXRL",0.42484796578009
"ANUBL1",0.325770075184232
"ANXA10",0.260368459929243
"ANXA11",0.0028656950255049
"ANXA13",0.303934361410731
"ANXA1",0.291645535990639
"ANXA2P1",0.0650802237622068
"ANXA2P2",0.392373076994702
"ANXA2P3",0.095295870133436
"ANXA2",0.55854430734564
"ANXA3",0.318119178367128
"ANXA4",0.900230501619146
"ANXA5",0.240573057284232
"ANXA6",0.785704961863399
"ANXA7",0.256362315532511
"ANXA8L1",0.275228648052863
"ANXA8L2",0.885014881897263
"ANXA8",0.707246603944605
"ANXA9",0.866950179069067
"AOAH",0.811807505716975
"AOC2",0.288041326989036
"AOC3",0.32769359382726
"AOX1",0.396058223745334
"AOX2P",0.00696583892865347
"AP1AR",0.758553786840074
"AP1B1",0.229415198146483
"AP1G1",0.551916868767959
"AP1G2",0.545301844793855
"AP1M1",0.378985915424934
"AP1M2",0.273654107680901
"AP1S1",0.304729879967667
"AP1S2",0.329777514932189
"AP1S3",0.302373866972273
"AP2A1",0.189741299467231
"AP2A2",0.456672205688881
"AP2B1",0.643759756100614
"AP2M1",0.166545056183431
"AP2S1",0.561579900785211
"AP3B1",0.91676711543861
"AP3B2",0.593739228256553
"AP3D1",0.12298446666015
"AP3M1",0.17772057477515
"AP3M2",0.531415094416148
"AP3S1",0.552706742414405
"AP3S2",0.710952600164442
"AP4B1",0.114452651686201
"AP4E1",0.632873443876693
"AP4M1",0.235859669648247
"AP4S1",0.0682035002388386
"APAF1",0.104188914117013
"APBA1",0.532235135520955
"APBA2",0.390191226376432
"APBA3",0.226276937153514
"APBB1IP",0.914056885788973
"APBB1",0.0883977824179158
"APBB2",0.913446498932248
"APBB3",0.491885507570468
"APC2",0.216553148345963
"APCDD1L",0.434153370597259
"APCDD1",0.88955556706628
"APCS",0.364951578303486
"APC",0.159194564442098
"APEH",0.402147158038855
"APEX1",0.0826318201612905
"APEX2",0.274756196620933
"APH1A",0.158678311263867
"APH1B",0.603903130262388
"API5",0.985715777051915
"APIP",0.23201776097536
"APITD1",0.173136169236905
"APLF",0.471171721690118
"APLNR",0.179056659250114
"APLN",0.392119979536314
